,Participant_Code,Outage_Reason,Year,Total_Number_Outage_Events,Average_Outage_Duration_in_Days,Risk_Classification
0,WGUTD,Scheduled (Planned),2017,4,10.96,High Risk
1,AUXC,Scheduled (Planned),2017,3,7.72,High Risk
2,TRMOS,Scheduled (Planned),2017,5,3.4,High Risk
3,PUG,Scheduled (Planned),2017,14,3.15,High Risk
4,KORL,Consequential,2017,6,2.24,High Risk
5,MELK,Scheduled (Planned),2017,115,2.18,High Risk
6,PMC,Scheduled (Planned),2017,19,2.1,High Risk
7,PJRH,Scheduled (Planned),2017,43,2.09,High Risk
8,PJRH,Scheduled (Planned),2016,48,2.03,High Risk
9,WGUTD,Consequential,2016,6,1.99,High Risk
10,PUG,Scheduled (Planned),2016,17,1.94,High Risk
11,MUND,Scheduled (Planned),2017,7,1.7,High Risk
12,MCG,Scheduled (Planned),2016,1,1.42,High Risk
13,ENRG,Scheduled (Planned),2017,48,1.39,High Risk
14,AUXC,Consequential,2016,1,0.96,N/A
15,TRMOS,Scheduled (Planned),2016,10,0.9,N/A
16,EUCT,Forced,2016,20,0.89,N/A
17,PUG,Forced,2016,26,0.85,N/A
18,MELK,Scheduled (Planned),2016,106,0.76,N/A
19,STHRNCRS,Scheduled (Planned),2016,16,0.72,N/A
20,AURICON,Scheduled (Planned),2016,83,0.71,N/A
21,MELK,Opportunistic Maintenance (Planned),2016,26,0.71,N/A
22,MELK,Consequential,2016,7,0.69,N/A
23,STHRNCRS,Scheduled (Planned),2017,14,0.68,N/A
24,MELK,Opportunistic Maintenance (Planned),2017,18,0.67,N/A
25,COLLGAR,Consequential,2016,12,0.6,N/A
26,WGUTD,Opportunistic Maintenance (Planned),2016,1,0.6,N/A
27,ENRG,Consequential,2016,15,0.57,N/A
28,KORL,Scheduled (Planned),2016,20,0.56,N/A
29,AURICON,Scheduled (Planned),2017,69,0.52,N/A
30,COLLGAR,Scheduled (Planned),2016,19,0.48,Low Risk
31,DNHR,Forced,2017,1,0.48,Low Risk
32,ENRG,Opportunistic Maintenance (Planned),2016,4,0.47,Low Risk
33,TSLA_MGT,Consequential,2016,30,0.42,Low Risk
34,EUCT,Consequential,2016,17,0.41,Low Risk
35,DNHR,Forced,2016,1,0.4,Low Risk
36,MUND,Forced,2016,4,0.37,Low Risk
37,ENRG,Opportunistic Maintenance (Planned),2017,3,0.35,Low Risk
38,WGUTD,Forced,2016,3,0.35,Low Risk
39,COLLGAR,Opportunistic Maintenance (Planned),2017,5,0.33,Low Risk
40,KORL,Forced,2016,53,0.33,Low Risk
41,TSLA_MGT,Scheduled (Planned),2017,33,0.33,Low Risk
42,EUCT,Consequential,2017,14,0.32,Low Risk
43,STHRNCRS,Forced,2016,16,0.32,Low Risk
44,COLLGAR,Forced,2017,55,0.31,Low Risk
45,AURICON,Opportunistic Maintenance (Planned),2016,4,0.3,Low Risk
46,GW,Opportunistic Maintenance (Planned),2017,14,0.29,Low Risk
47,TSLA_MGT,Consequential,2017,23,0.29,Low Risk
48,DNHR,Consequential,2016,11,0.28,Low Risk
49,MCG,Forced,2016,5,0.28,Low Risk
50,PMC,Consequential,2016,10,0.28,Low Risk
51,ENRG,Consequential,2017,7,0.27,Low Risk
52,ENRG,Forced,2017,7,0.26,Low Risk
53,GW,Opportunistic Maintenance (Planned),2016,21,0.26,Low Risk
54,MCG,Consequential,2016,2,0.26,Low Risk
55,STHRNCRS,Consequential,2017,2,0.26,Low Risk
56,PMC,Opportunistic Maintenance (Planned),2017,1,0.25,Low Risk
57,TSLA_MGT,Forced,2017,5,0.25,Low Risk
58,DNHR,Consequential,2017,12,0.24,Low Risk
59,GW,Consequential,2017,4,0.24,Low Risk
60,COLLGAR,Consequential,2017,5,0.23,Low Risk
61,EUCT,Forced,2017,5,0.23,Low Risk
62,PUG,Opportunistic Maintenance (Planned),2017,4,0.23,Low Risk
63,KORL,Opportunistic Maintenance (Planned),2017,12,0.22,Low Risk
64,MUND,Opportunistic Maintenance (Planned),2017,9,0.21,Low Risk
65,PUG,Opportunistic Maintenance (Planned),2016,7,0.21,Low Risk
66,KORL,Opportunistic Maintenance (Planned),2016,14,0.19,Low Risk
67,PMC,Scheduled (Planned),2016,34,0.19,Low Risk
68,STHRNCRS,Forced,2017,18,0.19,Low Risk
69,TSLA_MGT,Forced,2016,5,0.19,Low Risk
70,GW,Consequential,2016,20,0.18,Low Risk
71,MUND,Forced,2017,16,0.18,Low Risk
